,survived,pclass,sex,age,sibsp,parch,fare,embarked,who,adult_male,alone
53,1,2,female,29.0,1,0,26.0,S,woman,False,False
54,0,1,male,65.0,0,1,61.9792,C,man,True,False
55,1,1,male,29.64209269662921,0,0,35.5,S,man,True,True
56,1,2,female,21.0,0,0,10.5,S,woman,False,True
57,0,3,male,28.5,0,0,7.2292,C,man,True,True
58,1,2,female,5.0,1,2,27.75,S,child,False,False
59,0,3,male,11.0,5,2,46.9,S,child,False,False
60,0,3,male,22.0,0,0,7.2292,C,man,True,True
62,0,1,male,45.0,1,0,83.475,S,man,True,False
63,0,3,male,4.0,3,2,27.9,S,child,False,False
64,0,1,male,29.64209269662921,0,0,27.7208,C,man,True,True
65,1,3,male,29.64209269662921,1,1,15.2458,C,man,True,False
66,1,2,female,29.0,0,0,10.5,S,woman,False,True
67,0,3,male,19.0,0,0,8.1583,S,man,True,True
68,1,3,female,17.0,4,2,7.925,S,woman,False,False
69,0,3,male,26.0,2,0,8.6625,S,man,True,False
70,0,2,male,32.0,0,0,10.5,S,man,True,True
71,0,3,female,16.0,5,2,46.9,S,woman,False,False
72,0,2,male,21.0,0,0,73.5,S,man,True,True
73,0,3,male,26.0,1,0,14.4542,C,man,True,False
74,1,3,male,32.0,0,0,56.4958,S,man,True,True
75,0,3,male,25.0,0,0,7.65,S,man,True,True
78,1,2,male,0.83,0,2,29.0,S,child,False,False
79,1,3,female,30.0,0,0,12.475,S,woman,False,True
80,0,3,male,22.0,0,0,9.0,S,man,True,True
81,1,3,male,29.0,0,0,9.5,S,man,True,True
82,1,3,female,29.64209269662921,0,0,7.7875,Q,woman,False,True
83,0,1,male,28.0,0,0,47.1,S,man,True,True
84,1,2,female,17.0,0,0,10.5,S,woman,False,True
85,1,3,female,33.0,3,0,15.85,S,woman,False,False
86,0,3,male,16.0,1,3,34.375,S,man,True,False
88,1,1,female,23.0,3,2,263.0,S,woman,False,False
89,0,3,male,24.0,0,0,8.05,S,man,True,True
90,0,3,male,29.0,0,0,8.05,S,man,True,True
91,0,3,male,20.0,0,0,7.8542,S,man,True,True
92,0,1,male,46.0,1,0,61.175,S,man,True,False
93,0,3,male,26.0,1,2,20.575,S,man,True,False
94,0,3,male,59.0,0,0,7.25,S,man,True,True
96,0,1,male,71.0,0,0,34.6542,C,man,True,True
97,1,1,male,23.0,0,1,63.3583,C,man,True,False
98,1,2,female,34.0,0,1,23.0,S,woman,False,False
99,0,2,male,34.0,1,0,26.0,S,man,True,False
100,0,3,female,28.0,0,0,7.8958,S,woman,False,True
102,0,1,male,21.0,0,1,77.2875,S,man,True,False
103,0,3,male,33.0,0,0,8.6542,S,man,True,True
104,0,3,male,37.0,2,0,7.925,S,man,True,False
105,0,3,male,28.0,0,0,7.8958,S,man,True,True
106,1,3,female,21.0,0,0,7.65,S,woman,False,True
107,1,3,male,29.64209269662921,0,0,7.775,S,man,True,True
108,0,3,male,38.0,0,0,7.8958,S,man,True,True
109,1,3,female,29.64209269662921,1,0,24.15,Q,woman,False,False
110,0,1,male,47.0,0,0,52.0,S,man,True,True
111,0,3,female,14.5,1,0,14.4542,C,child,False,False
112,0,3,male,22.0,0,0,8.05,S,man,True,True
113,0,3,female,20.0,1,0,9.825,S,woman,False,False
114,0,3,female,17.0,0,0,14.4583,C,woman,False,True
115,0,3,male,21.0,0,0,7.925,S,man,True,True
116,0,3,male,70.5,0,0,7.75,Q,man,True,True
117,0,2,male,29.0,1,0,21.0,S,man,True,False
118,0,1,male,24.0,0,1,247.5208,C,man,True,False
119,0,3,female,2.0,4,2,31.275,S,child,False,False
120,0,2,male,21.0,2,0,73.5,S,man,True,False
122,0,2,male,32.5,1,0,30.0708,C,man,True,False
123,1,2,female,32.5,0,0,13.0,S,woman,False,True
124,0,1,male,54.0,0,1,77.2875,S,man,True,False
125,1,3,male,12.0,1,0,11.2417,C,child,False,False
126,0,3,male,29.64209269662921,0,0,7.75,Q,man,True,True
127,1,3,male,24.0,0,0,7.1417,S,man,True,True
128,1,3,female,29.64209269662921,1,1,22.3583,C,woman,False,False
129,0,3,male,45.0,0,0,6.975,S,man,True,True
130,0,3,male,33.0,0,0,7.8958,C,man,True,True
131,0,3,male,20.0,0,0,7.05,S,man,True,True
132,0,3,female,47.0,1,0,14.5,S,woman,False,False
134,0,2,male,25.0,0,0,13.0,S,man,True,True
135,0,2,male,23.0,0,0,15.0458,C,man,True,True
136,1,1,female,19.0,0,2,26.2833,S,woman,False,False
137,0,1,male,37.0,1,0,53.1,S,man,True,False
138,0,3,male,16.0,0,0,9.2167,S,man,True,True
139,0,1,male,24.0,0,0,79.2,C,man,True,True
140,0,3,female,29.64209269662921,0,2,15.2458,C,woman,False,False
141,1,3,female,22.0,0,0,7.75,S,woman,False,True
142,1,3,female,24.0,1,0,15.85,S,woman,False,False
143,0,3,male,19.0,0,0,6.75,Q,man,True,True
144,0,2,male,18.0,0,0,11.5,S,man,True,True
145,0,2,male,19.0,1,1,36.75,S,man,True,False
146,1,3,male,27.0,0,0,7.7958,S,man,True,True
147,0,3,female,9.0,2,2,34.375,S,child,False,False
148,0,2,male,36.5,0,2,26.0,S,man,True,False
149,0,2,male,42.0,0,0,13.0,S,man,True,True
150,0,2,male,51.0,0,0,12.525,S,man,True,True
151,1,1,female,22.0,1,0,66.6,S,woman,False,False
152,0,3,male,55.5,0,0,8.05,S,man,True,True
153,0,3,male,40.5,0,2,14.5,S,man,True,False
154,0,3,male,29.64209269662921,0,0,7.3125,S,man,True,True
155,0,1,male,51.0,0,1,61.3792,C,man,True,False
156,1,3,female,16.0,0,0,7.7333,Q,woman,False,True
157,0,3,male,30.0,0,0,8.05,S,man,True,True
158,0,3,male,29.64209269662921,0,0,8.6625,S,man,True,True
159,0,3,male,29.64209269662921,8,2,69.55,S,man,True,False
160,0,3,male,44.0,0,1,16.1,S,man,True,False
161,1,2,female,40.0,0,0,15.75,S,woman,False,True
162,0,3,male,26.0,0,0,7.775,S,man,True,True
163,0,3,male,17.0,0,0,8.6625,S,man,True,True
164,0,3,male,1.0,4,1,39.6875,S,child,False,False
165,1,3,male,9.0,0,2,20.525,S,child,False,False
166,1,1,female,29.64209269662921,0,1,55.0,S,woman,False,False
167,0,3,female,45.0,1,4,27.9,S,woman,False,False
168,0,1,male,29.64209269662921,0,0,25.925,S,man,True,True
169,0,3,male,28.0,0,0,56.4958,S,man,True,True
170,0,1,male,61.0,0,0,33.5,S,man,True,True
171,0,3,male,4.0,4,1,29.125,Q,child,False,False
172,1,3,female,1.0,1,1,11.1333,S,child,False,False
174,0,1,male,56.0,0,0,30.6958,C,man,True,True
175,0,3,male,18.0,1,1,7.8542,S,man,True,False
176,0,3,male,29.64209269662921,3,1,25.4667,S,man,True,False
177,0,1,female,50.0,0,0,28.7125,C,woman,False,True
178,0,2,male,30.0,0,0,13.0,S,man,True,True
179,0,3,male,36.0,0,0,0.0,S,man,True,True
180,0,3,female,29.64209269662921,8,2,69.55,S,woman,False,False
181,0,2,male,29.64209269662921,0,0,15.05,C,man,True,True
182,0,3,male,9.0,4,2,31.3875,S,child,False,False
183,1,2,male,1.0,2,1,39.0,S,child,False,False
184,1,3,female,4.0,0,2,22.025,S,child,False,False
185,0,1,male,29.64209269662921,0,0,50.0,S,man,True,True
186,1,3,female,29.64209269662921,1,0,15.5,Q,woman,False,False
187,1,1,male,45.0,0,0,26.55,S,man,True,True
188,0,3,male,40.0,1,1,15.5,Q,man,True,False
189,0,3,male,36.0,0,0,7.8958,S,man,True,True
190,1,2,female,32.0,0,0,13.0,S,woman,False,True
191,0,2,male,19.0,0,0,13.0,S,man,True,True
192,1,3,female,19.0,1,0,7.8542,S,woman,False,False
193,1,2,male,3.0,1,1,26.0,S,child,False,False
194,1,1,female,44.0,0,0,27.7208,C,woman,False,True
195,1,1,female,58.0,0,0,146.5208,C,woman,False,True
197,0,3,male,42.0,0,1,8.4042,S,man,True,False
199,0,2,female,24.0,0,0,13.0,S,woman,False,True
200,0,3,male,28.0,0,0,9.5,S,man,True,True
202,0,3,male,34.0,0,0,6.4958,S,man,True,True
203,0,3,male,45.5,0,0,7.225,C,man,True,True
204,1,3,male,18.0,0,0,8.05,S,man,True,True
205,0,3,female,2.0,0,1,10.4625,S,child,False,False
206,0,3,male,32.0,1,0,15.85,S,man,True,False
207,1,3,male,26.0,0,0,18.7875,C,man,True,True
208,1,3,female,16.0,0,0,7.75,Q,woman,False,True
209,1,1,male,40.0,0,0,31.0,C,man,True,True
210,0,3,male,24.0,0,0,7.05,S,man,True,True
211,1,2,female,35.0,0,0,21.0,S,woman,False,True
212,0,3,male,22.0,0,0,7.25,S,man,True,True
214,0,3,male,29.64209269662921,1,0,7.75,Q,man,True,False
215,1,1,female,31.0,1,0,113.275,C,woman,False,False
216,1,3,female,27.0,0,0,7.925,S,woman,False,True
217,0,2,male,42.0,1,0,27.0,S,man,True,False
218,1,1,female,32.0,0,0,76.2917,C,woman,False,True
219,0,2,male,30.0,0,0,10.5,S,man,True,True
220,1,3,male,16.0,0,0,8.05,S,man,True,True
221,0,2,male,27.0,0,0,13.0,S,man,True,True
222,0,3,male,51.0,0,0,8.05,S,man,True,True
224,1,1,male,38.0,1,0,90.0,S,man,True,False
225,0,3,male,22.0,0,0,9.35,S,man,True,True
226,1,2,male,19.0,0,0,10.5,S,man,True,True
227,0,3,male,20.5,0,0,7.25,S,man,True,True
228,0,2,male,18.0,0,0,13.0,S,man,True,True
229,0,3,female,29.64209269662921,3,1,25.4667,S,woman,False,False
230,1,1,female,35.0,1,0,83.475,S,woman,False,False
231,0,3,male,29.0,0,0,7.775,S,man,True,True
232,0,2,male,59.0,0,0,13.5,S,man,True,True
233,1,3,female,5.0,4,2,31.3875,S,child,False,False
234,0,2,male,24.0,0,0,10.5,S,man,True,True
235,0,3,female,29.64209269662921,0,0,7.55,S,woman,False,True
236,0,2,male,44.0,1,0,26.0,S,man,True,False
237,1,2,female,8.0,0,2,26.25,S,child,False,False
238,0,2,male,19.0,0,0,10.5,S,man,True,True
239,0,2,male,33.0,0,0,12.275,S,man,True,True
240,0,3,female,29.64209269662921,1,0,14.4542,C,woman,False,False
242,0,2,male,29.0,0,0,10.5,S,man,True,True
243,0,3,male,22.0,0,0,7.125,S,man,True,True
244,0,3,male,30.0,0,0,7.225,C,man,True,True
245,0,1,male,44.0,2,0,90.0,Q,man,True,False
246,0,3,female,25.0,0,0,7.775,S,woman,False,True
247,1,2,female,24.0,0,2,14.5,S,woman,False,False
248,1,1,male,37.0,1,1,52.5542,S,man,True,False
249,0,2,male,54.0,1,0,26.0,S,man,True,False
250,0,3,male,29.64209269662921,0,0,7.25,S,man,True,True
251,0,3,female,29.0,1,1,10.4625,S,woman,False,False
252,0,1,male,62.0,0,0,26.55,S,man,True,True
253,0,3,male,30.0,1,0,16.1,S,man,True,False
254,0,3,female,41.0,0,2,20.2125,S,woman,False,False
255,1,3,female,29.0,0,2,15.2458,C,woman,False,False
256,1,1,female,29.64209269662921,0,0,79.2,C,woman,False,True
257,1,1,female,30.0,0,0,86.5,S,woman,False,True
258,1,1,female,35.0,0,0,512.3292,C,woman,False,True
259,1,2,female,50.0,0,1,26.0,S,woman,False,False
261,1,3,male,3.0,4,2,31.3875,S,child,False,False
262,0,1,male,52.0,1,1,79.65,S,man,True,False
263,0,1,male,40.0,0,0,0.0,S,man,True,True
264,0,3,female,29.64209269662921,0,0,7.75,Q,woman,False,True
265,0,2,male,36.0,0,0,10.5,S,man,True,True
266,0,3,male,16.0,4,1,39.6875,S,man,True,False
267,1,3,male,25.0,1,0,7.775,S,man,True,False
268,1,1,female,58.0,0,1,153.4625,S,woman,False,False
269,1,1,female,35.0,0,0,135.6333,S,woman,False,True
270,0,1,male,29.64209269662921,0,0,31.0,S,man,True,True
271,1,3,male,25.0,0,0,0.0,S,man,True,True
272,1,2,female,41.0,0,1,19.5,S,woman,False,False
273,0,1,male,37.0,0,1,29.7,C,man,True,False
275,1,1,female,63.0,1,0,77.9583,S,woman,False,False
276,0,3,female,45.0,0,0,7.75,S,woman,False,True
277,0,2,male,29.64209269662921,0,0,0.0,S,man,True,True
278,0,3,male,7.0,4,1,29.125,Q,child,False,False
279,1,3,female,35.0,1,1,20.25,S,woman,False,False
280,0,3,male,65.0,0,0,7.75,Q,man,True,True
281,0,3,male,28.0,0,0,7.8542,S,man,True,True
282,0,3,male,16.0,0,0,9.5,S,man,True,True
283,1,3,male,19.0,0,0,8.05,S,man,True,True
284,0,1,male,29.64209269662921,0,0,26.0,S,man,True,True
285,0,3,male,33.0,0,0,8.6625,C,man,True,True
286,1,3,male,30.0,0,0,9.5,S,man,True,True
287,0,3,male,22.0,0,0,7.8958,S,man,True,True
288,1,2,male,42.0,0,0,13.0,S,man,True,True
289,1,3,female,22.0,0,0,7.75,Q,woman,False,True
290,1,1,female,26.0,0,0,78.85,S,woman,False,True
291,1,1,female,19.0,1,0,91.0792,C,woman,False,False
292,0,2,male,36.0,0,0,12.875,C,man,True,True
293,0,3,female,24.0,0,0,8.85,S,woman,False,True
294,0,3,male,24.0,0,0,7.8958,S,man,True,True
296,0,3,male,23.5,0,0,7.2292,C,man,True,True
297,0,1,female,2.0,1,2,151.55,S,child,False,False
298,1,1,male,29.64209269662921,0,0,30.5,S,man,True,True
299,1,1,female,50.0,0,1,247.5208,C,woman,False,False
301,1,3,male,29.64209269662921,2,0,23.25,Q,man,True,False
302,0,3,male,19.0,0,0,0.0,S,man,True,True
303,1,2,female,29.64209269662921,0,0,12.35,Q,woman,False,True
305,1,1,male,0.92,1,2,151.55,S,child,False,False
306,1,1,female,29.64209269662921,0,0,110.8833,C,woman,False,True
307,1,1,female,17.0,1,0,108.9,C,woman,False,False
308,0,2,male,30.0,1,0,24.0,C,man,True,False
309,1,1,female,30.0,0,0,56.9292,C,woman,False,True
310,1,1,female,24.0,0,0,83.1583,C,woman,False,True
311,1,1,female,18.0,2,2,262.375,C,woman,False,False
312,0,2,female,26.0,1,1,26.0,S,woman,False,False
314,0,2,male,43.0,1,1,26.25,S,man,True,False
315,1,3,female,26.0,0,0,7.8542,S,woman,False,True
316,1,2,female,24.0,1,0,26.0,S,woman,False,False
317,0,2,male,54.0,0,0,14.0,S,man,True,True
318,1,1,female,31.0,0,2,164.8667,S,woman,False,False
319,1,1,female,40.0,1,1,134.5,C,woman,False,False
321,0,3,male,27.0,0,0,7.8958,S,man,True,True
322,1,2,female,30.0,0,0,12.35,Q,woman,False,True
323,1,2,female,22.0,1,1,29.0,S,woman,False,False
325,1,1,female,36.0,0,0,135.6333,C,woman,False,True
326,0,3,male,61.0,0,0,6.2375,S,man,True,True
327,1,2,female,36.0,0,0,13.0,S,woman,False,True
328,1,3,female,31.0,1,1,20.525,S,woman,False,False
329,1,1,female,16.0,0,1,57.9792,C,woman,False,False
330,1,3,female,29.64209269662921,2,0,23.25,Q,woman,False,False
331,0,1,male,45.5,0,0,28.5,S,man,True,True
332,0,1,male,38.0,0,1,153.4625,S,man,True,False
333,0,3,male,16.0,2,0,18.0,S,man,True,False
334,1,1,female,29.64209269662921,1,0,133.65,S,woman,False,False
336,0,1,male,29.0,1,0,66.6,S,man,True,False
337,1,1,female,41.0,0,0,134.5,C,woman,False,True
338,1,3,male,45.0,0,0,8.05,S,man,True,True
339,0,1,male,45.0,0,0,35.5,S,man,True,True
340,1,2,male,2.0,1,1,26.0,S,child,False,False
341,1,1,female,24.0,3,2,263.0,S,woman,False,False
342,0,2,male,28.0,0,0,13.0,S,man,True,True
344,0,2,male,36.0,0,0,13.0,S,man,True,True
345,1,2,female,24.0,0,0,13.0,S,woman,False,True
346,1,2,female,40.0,0,0,13.0,S,woman,False,True
347,1,3,female,29.64209269662921,1,0,16.1,S,woman,False,False
348,1,3,male,3.0,1,1,15.9,S,child,False,False
349,0,3,male,42.0,0,0,8.6625,S,man,True,True
350,0,3,male,23.0,0,0,9.225,S,man,True,True
351,0,1,male,29.64209269662921,0,0,35.0,S,man,True,True
352,0,3,male,15.0,1,1,7.2292,C,child,False,False
353,0,3,male,25.0,1,0,17.8,S,man,True,False
356,1,1,female,22.0,0,1,55.0,S,woman,False,False
357,0,2,female,38.0,0,0,13.0,S,woman,False,True
360,0,3,male,40.0,1,4,27.9,S,man,True,False
361,0,2,male,29.0,1,0,27.7208,C,man,True,False
362,0,3,female,45.0,0,1,14.4542,C,woman,False,False
363,0,3,male,35.0,0,0,7.05,S,man,True,True
365,0,3,male,30.0,0,0,7.25,S,man,True,True
366,1,1,female,60.0,1,0,75.25,C,woman,False,False
367,1,3,female,29.64209269662921,0,0,7.2292,C,woman,False,True
369,1,1,female,24.0,0,0,69.3,C,woman,False,True
370,1,1,male,25.0,1,0,55.4417,C,man,True,False
371,0,3,male,18.0,1,0,6.4958,S,man,True,False
372,0,3,male,19.0,0,0,8.05,S,man,True,True
373,0,1,male,22.0,0,0,135.6333,C,man,True,True
374,0,3,female,3.0,3,1,21.075,S,child,False,False
375,1,1,female,29.64209269662921,1,0,82.1708,C,woman,False,False
376,1,3,female,22.0,0,0,7.25,S,woman,False,True
377,0,1,male,27.0,0,2,211.5,C,man,True,False
378,0,3,male,20.0,0,0,4.0125,C,man,True,True
379,0,3,male,19.0,0,0,7.775,S,man,True,True
380,1,1,female,42.0,0,0,227.525,C,woman,False,True
381,1,3,female,1.0,0,2,15.7417,C,child,False,False
382,0,3,male,32.0,0,0,7.925,S,man,True,True
383,1,1,female,35.0,1,0,52.0,S,woman,False,False
385,0,2,male,18.0,0,0,73.5,S,man,True,True
386,0,3,male,1.0,5,2,46.9,S,child,False,False
388,0,3,male,29.64209269662921,0,0,7.7292,Q,man,True,True
389,1,2,female,17.0,0,0,12.0,C,woman,False,True
390,1,1,male,36.0,1,2,120.0,S,man,True,False
391,1,3,male,21.0,0,0,7.7958,S,man,True,True
392,0,3,male,28.0,2,0,7.925,S,man,True,False
393,1,1,female,23.0,1,0,113.275,C,woman,False,False
394,1,3,female,24.0,0,2,16.7,S,woman,False,False
395,0,3,male,22.0,0,0,7.7958,S,man,True,True
396,0,3,female,31.0,0,0,7.8542,S,woman,False,True
397,0,2,male,46.0,0,0,26.0,S,man,True,True
398,0,2,male,23.0,0,0,10.5,S,man,True,True
399,1,2,female,28.0,0,0,12.65,S,woman,False,True
400,1,3,male,39.0,0,0,7.925,S,man,True,True
401,0,3,male,26.0,0,0,8.05,S,man,True,True
402,0,3,female,21.0,1,0,9.825,S,woman,False,False
403,0,3,male,28.0,1,0,15.85,S,man,True,False
404,0,3,female,20.0,0,0,8.6625,S,woman,False,True
405,0,2,male,34.0,1,0,21.0,S,man,True,False
406,0,3,male,51.0,0,0,7.75,S,man,True,True
407,1,2,male,3.0,1,1,18.75,S,child,False,False
408,0,3,male,21.0,0,0,7.775,S,man,True,True
411,0,3,male,29.64209269662921,0,0,6.8583,Q,man,True,True
412,1,1,female,33.0,1,0,90.0,Q,woman,False,False
414,1,3,male,44.0,0,0,7.925,S,man,True,True
415,0,3,female,29.64209269662921,0,0,8.05,S,woman,False,True
416,1,2,female,34.0,1,1,32.5,S,woman,False,False
417,1,2,female,18.0,0,2,13.0,S,woman,False,False
419,0,3,female,10.0,0,2,24.15,S,child,False,False
421,0,3,male,21.0,0,0,7.7333,Q,man,True,True
422,0,3,male,29.0,0,0,7.875,S,man,True,True
423,0,3,female,28.0,1,1,14.4,S,woman,False,False
424,0,3,male,18.0,1,1,20.2125,S,man,True,False
426,1,2,female,28.0,1,0,26.0,S,woman,False,False
427,1,2,female,19.0,0,0,26.0,S,woman,False,True
429,1,3,male,32.0,0,0,8.05,S,man,True,True
430,1,1,male,28.0,0,0,26.55,S,man,True,True
432,1,2,female,42.0,1,0,26.0,S,woman,False,False
433,0,3,male,17.0,0,0,7.125,S,man,True,True
434,0,1,male,50.0,1,0,55.9,S,man,True,False
435,1,1,female,14.0,1,2,120.0,S,child,False,False
436,0,3,female,21.0,2,2,34.375,S,woman,False,False
437,1,2,female,24.0,2,3,18.75,S,woman,False,False
438,0,1,male,64.0,1,4,263.0,S,man,True,False
439,0,2,male,31.0,0,0,10.5,S,man,True,True
440,1,2,female,45.0,1,1,26.25,S,woman,False,False
441,0,3,male,20.0,0,0,9.5,S,man,True,True
442,0,3,male,25.0,1,0,7.775,S,man,True,False
443,1,2,female,28.0,0,0,13.0,S,woman,False,True
444,1,3,male,29.64209269662921,0,0,8.1125,S,man,True,True
445,1,1,male,4.0,0,2,81.8583,S,child,False,False
446,1,2,female,13.0,0,1,19.5,S,child,False,False
447,1,1,male,34.0,0,0,26.55,S,man,True,True
448,1,3,female,5.0,2,1,19.2583,C,child,False,False
449,1,1,male,52.0,0,0,30.5,S,man,True,True
450,0,2,male,36.0,1,2,27.75,S,man,True,False
451,0,3,male,29.64209269662921,1,0,19.9667,S,man,True,False
452,0,1,male,30.0,0,0,27.75,C,man,True,True
453,1,1,male,49.0,1,0,89.1042,C,man,True,False
455,1,3,male,29.0,0,0,7.8958,C,man,True,True
456,0,1,male,65.0,0,0,26.55,S,man,True,True
457,1,1,female,29.64209269662921,1,0,51.8625,S,woman,False,False
458,1,2,female,50.0,0,0,10.5,S,woman,False,True
460,1,1,male,48.0,0,0,26.55,S,man,True,True
461,0,3,male,34.0,0,0,8.05,S,man,True,True
462,0,1,male,47.0,0,0,38.5,S,man,True,True
463,0,2,male,48.0,0,0,13.0,S,man,True,True
465,0,3,male,38.0,0,0,7.05,S,man,True,True
467,0,1,male,56.0,0,0,26.55,S,man,True,True
468,0,3,male,29.64209269662921,0,0,7.725,Q,man,True,True
469,1,3,female,0.75,2,1,19.2583,C,child,False,False
471,0,3,male,38.0,0,0,8.6625,S,man,True,True
472,1,2,female,33.0,1,2,27.75,S,woman,False,False
473,1,2,female,23.0,0,0,13.7917,C,woman,False,True
474,0,3,female,22.0,0,0,9.8375,S,woman,False,True
475,0,1,male,29.64209269662921,0,0,52.0,S,man,True,True
477,0,3,male,29.0,1,0,7.0458,S,man,True,False
478,0,3,male,22.0,0,0,7.5208,S,man,True,True
479,1,3,female,2.0,0,1,12.2875,S,child,False,False
480,0,3,male,9.0,5,2,46.9,S,child,False,False
482,0,3,male,50.0,0,0,8.05,S,man,True,True
483,1,3,female,63.0,0,0,9.5875,S,woman,False,True
484,1,1,male,25.0,1,0,91.0792,C,man,True,False
486,1,1,female,35.0,1,0,90.0,S,woman,False,False
487,0,1,male,58.0,0,0,29.7,C,man,True,True
489,1,3,male,9.0,1,1,15.9,S,child,False,False
491,0,3,male,21.0,0,0,7.25,S,man,True,True
492,0,1,male,55.0,0,0,30.5,S,man,True,True
493,0,1,male,71.0,0,0,49.5042,C,man,True,True
495,0,3,male,29.64209269662921,0,0,14.4583,C,man,True,True
496,1,1,female,54.0,1,0,78.2667,C,woman,False,False
497,0,3,male,29.64209269662921,0,0,15.1,S,man,True,True
498,0,1,female,25.0,1,2,151.55,S,woman,False,False
499,0,3,male,24.0,0,0,7.7958,S,man,True,True
501,0,3,female,21.0,0,0,7.75,Q,woman,False,True
502,0,3,female,29.64209269662921,0,0,7.6292,Q,woman,False,True
503,0,3,female,37.0,0,0,9.5875,S,woman,False,True
504,1,1,female,16.0,0,0,86.5,S,woman,False,True
505,0,1,male,18.0,1,0,108.9,C,man,True,False
506,1,2,female,33.0,0,2,26.0,S,woman,False,False
507,1,1,male,29.64209269662921,0,0,26.55,S,man,True,True
508,0,3,male,28.0,0,0,22.525,S,man,True,True
509,1,3,male,26.0,0,0,56.4958,S,man,True,True
510,1,3,male,29.0,0,0,7.75,Q,man,True,True
512,1,1,male,36.0,0,0,26.2875,S,man,True,True
513,1,1,female,54.0,1,0,59.4,C,woman,False,False
514,0,3,male,24.0,0,0,7.4958,S,man,True,True
515,0,1,male,47.0,0,0,34.0208,S,man,True,True
516,1,2,female,34.0,0,0,10.5,S,woman,False,True
517,0,3,male,29.64209269662921,0,0,24.15,Q,man,True,True
518,1,2,female,36.0,1,0,26.0,S,woman,False,False
519,0,3,male,32.0,0,0,7.8958,S,man,True,True
520,1,1,female,30.0,0,0,93.5,S,woman,False,True
523,1,1,female,44.0,0,1,57.9792,C,woman,False,False
524,0,3,male,29.64209269662921,0,0,7.2292,C,man,True,True
525,0,3,male,40.5,0,0,7.75,Q,man,True,True
527,0,1,male,29.64209269662921,0,0,221.7792,S,man,True,True
528,0,3,male,39.0,0,0,7.925,S,man,True,True
529,0,2,male,23.0,2,1,11.5,S,man,True,False
530,1,2,female,2.0,1,1,26.0,S,child,False,False
532,0,3,male,17.0,1,1,7.2292,C,man,True,False
533,1,3,female,29.64209269662921,0,2,22.3583,C,woman,False,False
